Player,NBA_Country,NBA_DraftNumber,Salary,Signed Using,Guaranteed,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Zhou Qi,China,43,"$815,615 ",MLE,"$815,615 ",C,22,HOU,16,87,0.6,0.303,0.593,0.37,6.5,16.8,11.7,1.5,1.1,6.8,18.2,19.5,-0.4,0.1,-0.2,-0.121,-10.6,0.5,-10.1,-0.2
Zaza Pachulia,Georgia,42,"$3,477,600 ",,"$3,477,600 ",C,33,GSW,66,937,16.8,0.608,0.004,0.337,11,25,18.5,15.4,1.9,1.3,19.3,17.2,1.7,1.4,3.1,0.16,-0.6,1.3,0.8,0.7
Zach Randolph,USA,19,"$12,307,692 ",Cap space,"$24,000,000 ",PF,36,SAC,59,1508,17.3,0.529,0.193,0.14,7,23.8,15,14.9,1.4,0.6,12.5,27.6,0.3,1.1,1.4,0.046,-0.6,-1.3,-1.9,0
Zach LaVine,USA,13,"$3,202,217 ",1st Round Pick,"$3,202,217 ",SG,22,CHI,24,656,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.4,0.027,-0.7,-2,-2.6,-0.1
Zach Collins,USA,10,"$3,057,240 ",1st Round Pick,"$6,686,160 ",C,20,POR,62,979,8.2,0.487,0.387,0.146,4.9,18.3,11.7,7.3,0.8,2.5,15.6,15.5,-0.4,1.2,0.8,0.038,-3.7,0.9,-2.9,-0.2
Yogi Ferrell,USA,62,"$1,312,611 ",Minimum Salary,"$1,312,611 ",SG,24,DAL,79,2238,11.5,0.543,0.489,0.141,1.3,11.3,6.1,13.3,1.4,0.3,9.1,17,1.6,1.6,3.1,0.067,-0.4,-0.5,-0.9,0.6
Xavier Silas,USA,62,"$74,159 ",,$0 ,SG,30,BOS,2,7,-4.9,0,0.667,0,15.9,15.4,15.7,0,7.2,0,0,19.2,-0.1,0,0,-0.251,-12.6,-0.7,-13.3,0
Xavier Rathan-Mayes,Canada,62,"$46,080 ",,$0 ,SG,23,MEM,5,118,0.9,0.315,0.333,0.214,0,5,2.5,23.2,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.169,-8.7,-1.9,-10.6,-0.3
Xavier Munford,USA,62,$0 ,,$0 ,SG,25,MIL,6,21,-2.1,0.218,0.333,0.333,5.6,0,2.8,24.7,2.4,0,22.5,19.2,-0.1,0,-0.1,-0.197,-9.4,-4.4,-13.8,-0.1
Wilson Chandler,USA,23,"$12,016,854 ",,"$12,016,854 ",SF,30,DEN,70,2200,11.1,0.543,0.39,0.186,5,14,9.5,9.7,0.9,1.4,12,14.6,2,1,3.1,0.067,-0.4,-0.6,-1,0.5
