,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
3,Steven Adams,C,23,OKC,80,80,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3
4,Arron Afflalo,SG,31,SAC,61,45,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4
7,LaMarcus Aldridge,PF,31,SAS,72,72,32.4,6.9,14.6,0.47700000000000004,0.3,0.8,0.41100000000000003,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3
9,Tony Allen,SG,35,MEM,71,66,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1
10,Al-Farouq Aminu,PF,26,POR,61,25,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.9,4.2,0.445,0.46799999999999997,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7
13,Justin Anderson,SF,23,TOT,75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1
17,Ryan Anderson,PF,28,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7.0,0.40299999999999997,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6
18,Giannis Antetokounmpo,SF,22,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9
19,Carmelo Anthony,SF,32,NYK,74,74,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
21,Trevor Ariza,SF,31,HOU,80,80,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7
22,Darrell Arthur,PF,28,DEN,41,7,15.6,2.3,5.2,0.442,1.3,2.9,0.45299999999999996,1.0,2.4,0.429,0.565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4
24,Omer Asik,C,30,NOP,31,19,15.5,1.0,2.1,0.47700000000000004,0.0,0.0,0.0,1.0,2.1,0.47700000000000004,0.47700000000000004,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
25,D.J. Augustin,PG,29,ORL,78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.34700000000000003,1.3,3.1,0.41200000000000003,0.469,1.7,2.1,0.8140000000000001,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9
26,Luke Babbitt,SF,27,MIA,68,55,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
27,Ron Baker,SG,23,NYK,52,13,16.5,1.6,4.2,0.37799999999999995,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.6509999999999999,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1
30,J.J. Barea,PG,32,DAL,35,6,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9
31,Harrison Barnes,PF,24,DAL,79,79,35.5,7.6,16.2,0.46799999999999997,1.0,2.8,0.35100000000000003,6.6,13.4,0.49200000000000005,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
32,Matt Barnes,SF,36,TOT,74,18,24.0,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1
35,Will Barton,SG,26,DEN,60,19,28.4,4.9,11.1,0.44299999999999995,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
37,Nicolas Batum,SG,28,CHO,77,77,34.0,5.1,12.7,0.40299999999999997,1.8,5.3,0.33299999999999996,3.4,7.4,0.45299999999999996,0.47200000000000003,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1
38,Jerryd Bayless,PG,28,PHI,3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.33299999999999996,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
39,Aron Baynes,C,30,DET,75,2,15.5,1.9,3.7,0.513,0.0,0.0,0.0,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9
40,Kent Bazemore,SF,27,ATL,73,64,26.9,4.0,9.9,0.409,1.3,3.6,0.34600000000000003,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0
