gmDate,gmTime,seasTyp,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamMin,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptMin,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,poss,pace
2016-10-25,08:00,Regular,Lane,Karl,Adams,Bennie,Kennedy,Bill,NY,East,Atlantic,Away,Loss,240,0,88,17,18,6,6,22,87,32,0.3678,60,23,0.3833,27,9,0.3333,20,15,0.75,13,29,42,18,27,19,24,0,0,0,0,45.1613,53.125,0.4593,0.4195,24.5283,72.5,15.8172,5.9777,5.9777,10.0,1.0115,50.0,41.6667,87.6731,116.5653,-28.8922,0.3478,12.9969,0.9444,33.3333,CLE,East,Central,Home,Win,241,0,117,31,15,12,5,22,94,45,0.4787,59,32,0.5424,35,13,0.3714,19,14,0.7368,11,40,51,28,20,34,35,0,0,0,0,54.8387,68.8889,0.5715,0.5479,21.5686,78.4314,12.7812,11.9554,4.9814,8.4746,1.2447,102.375,84.9585,116.5653,87.6731,28.8922,0.4592,20.8951,2.0667,80.0,100.3729,100.3729
2016-10-25,08:00,Regular,Lane,Karl,Adams,Bennie,Kennedy,Bill,CLE,East,Central,Home,Win,241,0,117,31,15,12,5,22,94,45,0.4787,59,32,0.5424,35,13,0.3714,19,14,0.7368,11,40,51,28,20,34,35,0,0,0,0,54.8387,68.8889,0.5715,0.5479,27.5,75.4717,12.7812,11.9554,4.9814,8.4746,1.2447,102.375,84.9585,116.5653,87.6731,28.8922,0.4592,20.8951,2.0667,80.0,NY,East,Atlantic,Away,Loss,240,0,88,17,18,6,6,22,87,32,0.3678,60,23,0.3833,27,9,0.3333,20,15,0.75,13,29,42,18,27,19,24,0,0,0,0,45.1613,53.125,0.4593,0.4195,30.9524,69.0476,15.8172,5.9777,5.9777,10.0,1.0115,50.0,41.6667,87.6731,116.5653,-28.8922,0.3478,12.9969,0.9444,33.3333,100.3729,99.9564
2016-10-25,10:00,Regular,Buchert,Nick,Callahan,Mike,Brown,Tony,UTA,West,Northwest,Away,Loss,241,0,104,19,14,9,5,19,82,40,0.4878,58,32,0.5517,24,8,0.3333,16,16,1.0,6,25,31,26,20,37,21,0,0,0,0,47.6923,47.5,0.584,0.5366,17.1429,83.3333,13.587,9.7257,5.4032,8.6207,1.2683,70.75,58.7137,112.3863,122.112,-9.7257,0.4444,15.5687,1.3571,64.2857,POR,West,Northwest,Home,Win,239,0,113,22,13,5,3,18,75,39,0.52,56,26,0.4643,19,13,0.6842,22,22,1.0,5,29,34,26,28,23,36,0,0,0,0,52.3077,56.4103,0.6672,0.6067,14.7059,85.2941,13.3088,5.4032,3.2419,5.3571,1.5067,83.25,69.6653,122.112,112.3863,9.7257,0.4699,18.3824,1.6923,38.4615,92.538,92.154
2016-10-25,10:00,Regular,Buchert,Nick,Callahan,Mike,Brown,Tony,POR,West,Northwest,Home,Win,239,0,113,22,13,5,3,18,75,39,0.52,56,26,0.4643,19,13,0.6842,22,22,1.0,5,29,34,26,28,23,36,0,0,0,0,52.3077,56.4103,0.6672,0.6067,16.6667,82.8571,13.3088,5.4032,3.2419,5.3571,1.5067,83.25,69.6653,122.112,112.3863,9.7257,0.4699,18.3824,1.6923,38.4615,UTA,West,Northwest,Away,Loss,241,0,104,19,14,9,5,19,82,40,0.4878,58,32,0.5517,24,8,0.3333,16,16,1.0,6,25,31,26,20,37,21,0,0,0,0,47.6923,47.5,0.584,0.5366,19.3548,80.6452,13.587,9.7257,5.4032,8.6207,1.2683,70.75,58.7137,112.3863,122.112,-9.7257,0.4444,15.5687,1.3571,64.2857,92.538,92.9252
2016-10-25,10:30,Regular,Maddox,Tre,Fraher,Pat,Crawford,Dan,SA,West,Southwest,Away,Win,240,0,129,25,14,13,3,19,98,47,0.4796,74,35,0.473,24,12,0.5,26,23,0.8846,21,34,55,31,33,33,32,0,0,0,0,61.1111,53.1915,0.5894,0.5408,43.75,80.9524,11.3415,13.161,3.0372,4.0541,1.3163,109.75,91.4583,130.5979,101.2387,29.3592,0.5165,16.8418,1.7857,92.8571,GS,West,Pacific,Home,Loss,241,0,100,24,16,11,6,19,85,40,0.4706,52,33,0.6346,33,7,0.2121,18,13,0.7222,8,27,35,20,26,31,23,0,0,0,0,38.8889,60.0,0.5381,0.5118,22.8571,77.1429,14.6897,11.1363,6.0743,11.5385,1.1765,73.25,60.7884,101.2387,130.5979,-29.3592,0.4301,18.056,1.5,68.75,98.7765,98.7765
2016-10-25,10:30,Regular,Maddox,Tre,Fraher,Pat,Crawford,Dan,GS,West,Pacific,Home,Loss,241,0,100,24,16,11,6,19,85,40,0.4706,52,33,0.6346,33,7,0.2121,18,13,0.7222,8,27,35,20,26,31,23,0,0,0,0,38.8889,60.0,0.5381,0.5118,19.0476,56.25,14.6897,11.1363,6.0743,11.5385,1.1765,73.25,60.7884,101.2387,130.5979,-29.3592,0.4301,18.056,1.5,68.75,SA,West,Southwest,Away,Win,240,0,129,25,14,13,3,19,98,47,0.4796,74,35,0.473,24,12,0.5,26,23,0.8846,21,34,55,31,33,33,32,0,0,0,0,61.1111,53.1915,0.5894,0.5408,38.1818,61.8182,11.3415,13.161,3.0372,4.0541,1.3163,109.75,91.4583,130.5979,101.2387,29.3592,0.5165,16.8418,1.7857,92.8571,98.7765,98.3666
2016-10-26,07:00,Regular,Tiven,Josh,Ford,Tyler,Kennedy,Bill,DAL,West,Southwest,Away,Loss,265,0,121,26,15,8,8,27,104,45,0.4327,56,27,0.4821,48,18,0.375,18,13,0.7222,10,39,49,21,31,33,30,6,0,0,0,48.5149,57.7778,0.5406,0.5192,18.5185,82.9787,11.8185,6.9951,6.9951,14.2857,1.1635,89.0,67.1698,105.8011,113.6706,-7.8695,0.4128,17.0024,1.7333,53.3333,IND,East,Central,Home,Win,265,0,130,30,16,11,6,23,93,47,0.5054,74,37,0.5,19,10,0.5263,34,26,0.7647,8,44,52,33,26,35,21,15,0,0,0,51.4851,63.8298,0.6021,0.5591,15.3846,84.6154,12.9074,9.6183,5.2463,8.1081,1.3978,108.0,81.5094,113.6706,105.8011,7.8695,0.4653,19.4856,1.875,68.75,114.3655,103.5763
2016-10-26,07:00,Regular,Tiven,Josh,Ford,Tyler,Kennedy,Bill,IND,East,Central,Home,Win,265,0,130,30,16,11,6,23,93,47,0.5054,74,37,0.5,19,10,0.5263,34,26,0.7647,8,44,52,33,26,35,21,15,0,0,0,51.4851,63.8298,0.6021,0.5591,17.0213,81.4815,12.9074,9.6183,5.2463,8.1081,1.3978,108.0,81.5094,113.6706,105.8011,7.8695,0.4653,19.4856,1.875,68.75,DAL,West,Southwest,Away,Loss,265,0,121,26,15,8,8,27,104,45,0.4327,56,27,0.4821,48,18,0.375,18,13,0.7222,10,39,49,21,31,33,30,6,0,0,0,48.5149,57.7778,0.5406,0.5192,20.4082,79.5918,11.8185,6.9951,6.9951,14.2857,1.1635,89.0,67.1698,105.8011,113.6706,-7.8695,0.4128,17.0024,1.7333,53.3333,114.3655,103.5763
2016-10-26,07:00,Regular,VanDuyne,Justin,Corbin,Sean,Washington,Tom,MIA,East,Southeast,Away,Win,241,0,108,27,12,5,7,22,97,47,0.4845,81,43,0.5309,16,4,0.25,16,10,0.625,16,36,52,23,27,30,28,0,0,0,0,54.1667,57.4468,0.519,0.5052,34.7826,72.0,10.3413,5.2407,7.337,8.642,1.1134,88.25,73.2365,113.1991,100.6214,12.5777,0.5054,18.8758,2.25,41.6667,ORL,East,Southeast,Home,Loss,240,0,96,20,11,5,4,15,88,34,0.3864,71,28,0.3944,17,6,0.3529,28,22,0.7857,14,30,44,27,26,16,27,0,0,0,0,45.8333,58.8235,0.4785,0.4205,31.8182,68.1818,9.8814,5.2407,4.1926,5.6338,1.0909,66.5,55.4167,100.6214,113.1991,-12.5777,0.4,15.23,1.8182,45.4545,95.4071,95.0112
2016-10-26,07:00,Regular,VanDuyne,Justin,Corbin,Sean,Washington,Tom,ORL,East,Southeast,Home,Loss,240,0,96,20,11,5,4,15,88,34,0.3864,71,28,0.3944,17,6,0.3529,28,22,0.7857,14,30,44,27,26,16,27,0,0,0,0,45.8333,58.8235,0.4785,0.4205,28.0,65.2174,9.8814,5.2407,4.1926,5.6338,1.0909,66.5,55.4167,100.6214,113.1991,-12.5777,0.4,15.23,1.8182,45.4545,MIA,East,Southeast,Away,Win,241,0,108,27,12,5,7,22,97,47,0.4845,81,43,0.5309,16,4,0.25,16,10,0.625,16,36,52,23,27,30,28,0,0,0,0,54.1667,57.4468,0.519,0.5052,30.7692,69.2308,10.3413,5.2407,7.337,8.642,1.1134,88.25,73.2365,113.1991,100.6214,12.5777,0.5054,18.8758,2.25,41.6667,95.4071,95.4071
